2026-03-08 07:09:15,005 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(1); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:15:49,024 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(16); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:16:15,096 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(17); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:16:41,677 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(18); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:17:07,701 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(19); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:17:33,715 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(20); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:17:59,737 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(21); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:18:26,582 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(22); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:18:52,605 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(23); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:19:18,670 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(24); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:19:44,673 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(25); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:20:11,637 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(26); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:20:37,660 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(27); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:21:03,728 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(28); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:21:29,776 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(29); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:21:56,498 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(30); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:22:22,520 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(31); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:22:48,616 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(32); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:23:14,667 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(33); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:23:40,684 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(34); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:24:06,711 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(35); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:24:32,735 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(36); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:24:58,785 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(37); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:25:24,881 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(38); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:25:50,909 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(39); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:26:19,298 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(40); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:26:45,311 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(41); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:27:11,329 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(42); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:27:37,357 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(43); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:28:05,772 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(44); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:28:31,789 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(45); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:28:57,806 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(46); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:29:23,836 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(47); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:29:52,253 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(48); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:30:18,282 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(49); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:30:44,300 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(50); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:31:10,730 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(51); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:31:36,758 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(52); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:32:02,784 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(53); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:32:28,815 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(54); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:32:54,920 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(55); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:33:20,942 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(56); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:33:46,965 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(57); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:34:13,001 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(58); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:34:39,966 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(59); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:35:05,987 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(60); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:35:32,006 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(61); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:35:58,008 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(62); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:36:25,264 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(63); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:36:51,281 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(64); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:37:17,313 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(65); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:37:43,315 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(66); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:38:10,751 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(67); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:38:36,779 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(68); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:39:02,864 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(69); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:39:28,937 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(70); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:39:55,218 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(71); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:40:21,237 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(72); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:40:47,259 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(73); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:41:13,306 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(74); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
